#{"t_start": 1734429533.7552483, "env_id": "CustomLunarLander-v3"}
r,l,t
241.25602,910,1587.377876
-286.811915,205,1588.701756
24.256279,147,1589.676903
-15.375903,136,1590.559565
225.816039,295,1592.502002
43.940835,139,1593.425156
-27.20308,200,1594.759549
266.102033,387,1597.288424
223.811287,424,1600.070832
224.165869,292,1601.960292
-51.450825,106,1602.661409
57.555404,165,1603.750597
-26.116938,196,1605.042307
56.307213,134,1605.945104
250.190936,286,1607.875868
258.006589,264,1609.585128
-29.596715,131,1610.460771
219.235078,790,1615.647291
-62.878831,237,1617.226211
-70.355928,365,1619.6571
-0.600898,181,1620.843277
62.933825,156,1621.877428
270.837721,296,1623.822706
8.767817,275,1625.652458
246.598472,233,1627.180194
134.844936,609,1631.144638
229.084998,285,1633.017888
31.86028,143,1633.956536
-53.413227,161,1634.999695
-84.856124,331,1637.159038
10.327411,155,1638.192216
-62.525105,169,1639.291376
-165.213397,120,1640.078502
233.673231,230,1641.583201
-62.774793,161,1642.671863
-103.039971,132,1643.534482
-69.610259,183,1644.734154
181.723564,237,1646.282384
40.493935,234,1647.809787
265.089558,344,1650.05664
-0.49097,1000,1656.616093
-37.131928,172,1657.750432
46.250816,153,1658.760589
219.630058,439,1661.644011
272.126217,314,1663.700879
-50.86524,389,1666.28508
-52.712638,329,1668.485062
-12.620941,222,1669.900788
186.243259,632,1674.018527
36.421853,202,1675.346211
15.182278,158,1676.369901
231.197604,890,1682.159758
213.822246,294,1684.102969
