#{"t_start": 1734419833.1969223, "env_id": "CustomLunarLander-v3"}
r,l,t
-235.886052,452,2149.591407
269.600446,381,2153.029838
218.867637,529,2157.765276
-71.203077,169,2159.261996
-104.983364,345,2162.303419
243.715414,339,2165.323351
-47.736532,162,2166.746844
-81.103913,91,2167.574958
178.524631,472,2171.730028
221.606014,428,2175.572521
263.057171,385,2178.942646
236.775677,403,2182.482262
-405.98381,153,2183.824607
-859.909005,199,2185.590374
114.207242,770,2192.47565
-286.682312,239,2194.596483
223.80558,508,2199.099098
-172.963529,212,2200.98351
246.576437,345,2203.997509
-120.538378,142,2205.285955
204.016633,601,2210.60185
-120.837404,126,2211.751542
247.6601,387,2215.159536
-52.731427,385,2218.608167
-139.40484,595,2223.896143
-192.835957,326,2226.796896
207.52171,499,2231.240546
233.001374,345,2234.270149
204.761622,904,2242.260719
-204.100486,348,2245.328098
-46.779446,252,2247.573097
158.297316,494,2251.979757
-28.922043,207,2253.811026
-266.69127,127,2254.90719
242.957728,193,2256.629581
218.67896,400,2260.189127
220.91861,373,2263.500571
-139.843794,318,2266.309429
-141.030344,143,2267.599123
-39.305868,319,2270.426018
-89.007293,143,2271.693689
-262.93161,310,2274.468086
124.868176,1000,2283.327202
144.30916,525,2287.97806
152.119719,583,2293.148455
-28.968093,223,2295.133073
-75.867183,195,2296.873991
226.315032,539,2301.66271
271.441999,302,2304.356054
275.471509,369,2307.594717
266.414446,259,2309.891562
144.052401,506,2314.356886
-227.125436,418,2318.049412
-86.551789,545,2322.834774
-202.217384,209,2324.692233
-214.770667,373,2328.013207
229.816766,358,2331.188974
254.482436,434,2335.039344
13.707135,270,2337.408159
162.129554,712,2343.718513
251.146831,320,2346.554088
-183.155637,240,2348.732361
237.803415,442,2352.644119
-149.38017,102,2353.564726
-46.777784,186,2355.21814
231.435367,304,2357.922552
157.214995,493,2362.280251
-74.630663,205,2364.100669
270.310364,261,2366.392069
-71.450505,448,2370.379652
-43.225529,224,2372.36742
184.303395,499,2376.792117
-179.845992,591,2381.992042
-170.466792,347,2385.058513
-197.033551,217,2386.970804
202.510789,473,2391.155394
-237.323589,265,2393.526353
-250.045091,346,2396.590312
-42.853183,456,2400.600551
-94.72964,218,2402.524323
-76.670045,295,2405.127907
3.091221,239,2407.26521
-224.986517,560,2412.273114
59.486373,220,2414.254109
-56.836152,210,2416.114432
-69.648711,404,2419.64029
252.000221,276,2422.069153
75.257402,706,2428.394608
241.066575,394,2431.855655
233.269866,404,2435.388108
-123.961898,478,2439.654841
100.733546,762,2446.417204
251.157666,357,2449.609397
187.558635,545,2454.535064
-90.996483,253,2456.781351
191.255933,389,2460.222019
232.330012,426,2464.029649
-151.728795,218,2465.955771
-239.508445,273,2468.37109
244.167878,410,2472.001746
240.258415,415,2475.644366
180.414267,636,2481.253731
84.609386,1000,2490.082851
-42.31904,371,2493.385412
159.663521,353,2496.507603
-202.611604,472,2500.725621
222.725483,320,2503.543026
-49.853953,279,2506.022964
1.50347,122,2507.10363
155.246748,354,2510.254181
-85.013332,417,2513.967057
175.18517,436,2517.810613
-181.642509,244,2519.982418
220.404938,395,2523.479424
210.106131,431,2527.273136
230.558111,399,2530.831889
196.109597,414,2534.551647
178.337008,567,2539.596065
-15.750316,308,2542.351169
-251.814402,158,2543.748038
265.909567,330,2546.655978
284.506625,207,2548.465246
286.782514,298,2551.103964
300.118977,240,2553.233801
269.988217,288,2555.783127
222.572968,213,2557.648536
189.929149,750,2564.241947
205.624375,484,2568.53125
217.336457,425,2572.311815
-164.141213,238,2574.438605
167.055933,761,2581.197706
-206.791917,607,2586.579142
-9.072628,342,2589.66622
230.585553,382,2593.039239
-40.694537,285,2595.577079
49.713578,1000,2604.411843
-35.531145,110,2605.391151
-120.950281,623,2610.87781
240.411746,391,2614.350958
276.604477,278,2616.848792
-187.682443,321,2619.703682
-223.896191,238,2621.818015
171.094869,365,2625.080794
226.380011,498,2629.451316
13.793262,1000,2638.404686
-303.419907,268,2640.795455
237.251142,386,2644.294519
211.82557,293,2646.93419
-153.473606,183,2648.584937
169.747223,528,2653.278057
-207.848052,379,2656.618059
241.491489,340,2659.58291
221.940252,517,2664.129075
163.223379,924,2672.300501
-123.092803,117,2673.330148
275.862281,408,2676.95117
134.132211,464,2681.113657
210.121952,572,2686.212265
-126.479447,216,2688.168553
135.390719,610,2693.570413
-198.904923,287,2696.14685
-230.216014,118,2697.197861
188.954297,437,2701.051074
170.554507,878,2708.874122
224.058581,350,2712.006536
181.356022,585,2717.171933
-202.22831,274,2719.604834
131.868741,717,2725.96795
238.066047,386,2729.381111
163.875413,485,2733.699524
189.777553,631,2739.346575
101.791698,732,2745.788248
173.41859,353,2748.905216
191.755152,395,2752.422195
256.458717,172,2753.955954
-150.368594,209,2755.834742
278.442344,235,2757.919029
-136.049861,298,2760.551033
12.350064,317,2763.337435
231.099842,281,2765.853322
146.258745,506,2770.290466
133.797928,465,2774.403526
100.555762,692,2780.571566
287.507062,265,2782.916607
260.799656,231,2784.972386
150.111287,617,2790.477105
22.247466,233,2792.526369
-325.990613,767,2799.365814
231.573159,414,2803.04163
226.834891,443,2806.980002
-199.197013,477,2811.248566
167.06411,575,2816.34399
255.48697,359,2819.534449
240.095296,373,2822.831126
-43.101346,455,2826.880264
238.632823,438,2830.75785
160.910056,482,2835.022947
221.226786,362,2838.21187
193.39967,439,2842.07914
225.420675,356,2845.232088
-256.779127,313,2847.986493
234.331072,433,2851.835526
-6.301942,193,2853.54326
-73.250261,339,2856.550721
-47.827453,261,2858.850538
225.113758,282,2861.32987
-82.590862,272,2863.70569
203.540419,538,2868.464016
-80.826389,194,2870.200751
245.404949,355,2873.3307
-3.307479,281,2875.825077
122.342499,702,2882.079516
241.162186,389,2885.499017
192.578532,421,2889.239813
207.479434,420,2892.922815
238.302559,259,2895.27472
181.309514,804,2902.401293
230.892465,539,2907.20833
-47.107719,192,2908.923061
11.090956,308,2911.649641
217.29253,497,2916.028273
227.730967,315,2918.819904
18.444021,323,2921.671911
216.201874,451,2925.668633
198.559027,312,2928.482986
-193.236191,190,2930.154196
-36.959557,367,2933.458638
237.12231,371,2936.783846
-101.336854,339,2939.790257
-7.17195,183,2941.411405
-211.522917,239,2943.578206
-11.47362,210,2945.463717
274.724569,326,2948.386681
196.126957,391,2951.802161
-109.057692,250,2954.018618
259.158247,457,2958.095706
265.459869,267,2960.445555
-39.579264,74,2961.101656
222.297015,353,2964.201118
243.414722,538,2968.98004
125.040063,743,2975.551516
250.330717,338,2978.540568
251.114377,480,2982.843507
-87.289481,365,2986.073024
172.59021,279,2988.502326
